abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
FALSE,FALSE,FALSE,FALSE,FALSE,Shorewood,2217,FALSE,1962,US,163,completed,FALSE,FALSE,0,FALSE,329,FALSE,FALSE,17720,FALSE,TRUE,FALSE,43.0906105,FALSE,-87.89720917,steel,FALSE,FALSE,WITI TV Tower,1,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,0,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,80,FALSE,328.8800049,FALSE,FALSE,273,FALSE,TRUE,TRUE,40.71086884,FALSE,-74.01157379,composite,FALSE,FALSE,3 World Trade Center,1,FALSE,TRUE,FALSE,28,FALSE,FALSE,FALSE,FALSE,2010,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,77,FALSE,320.0400085,FALSE,FALSE,317,FALSE,TRUE,TRUE,40.7618103,FALSE,-73.97817993,concrete,FALSE,FALSE,53 West 53rd,1,FALSE,FALSE,FALSE,29,FALSE,TRUE,FALSE,FALSE,2015,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Nashville,1640,FALSE,0,US,163,vision,FALSE,FALSE,77,FALSE,320,FALSE,TRUE,400,FALSE,FALSE,FALSE,36.16259003,FALSE,-86.7802124,concrete,FALSE,FALSE,Signature Tower,2,FALSE,FALSE,FALSE,30,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,0,US,163,never completed,FALSE,FALSE,89,FALSE,319.1400146,FALSE,TRUE,420,FALSE,FALSE,TRUE,41.88652039,FALSE,-87.63143921,concrete,FALSE,FALSE,Waterview Tower,2,FALSE,FALSE,FALSE,31,FALSE,TRUE,FALSE,FALSE,2006,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,1930,US,163,completed,FALSE,FALSE,77,FALSE,318.8999939,FALSE,FALSE,422,FALSE,TRUE,TRUE,40.7516098,FALSE,-73.97534943,steel,FALSE,FALSE,Chrysler Building,1,FALSE,TRUE,FALSE,32,FALSE,FALSE,FALSE,FALSE,1928,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2007,US,163,completed,FALSE,FALSE,52,FALSE,318.769989,FALSE,FALSE,423,FALSE,TRUE,TRUE,40.75608826,FALSE,-73.99004364,steel,FALSE,FALSE,New York Times Tower,1,FALSE,TRUE,FALSE,33,FALSE,FALSE,FALSE,FALSE,2004,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2019,US,163,proposed,FALSE,FALSE,66,FALSE,315.1600037,FALSE,FALSE,8765,FALSE,TRUE,TRUE,40.75595093,FALSE,-74.00128174,composite,FALSE,FALSE,3 Hudson Boulevard,2,FALSE,TRUE,FALSE,34,FALSE,TRUE,FALSE,FALSE,2016,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Atlanta,1509,FALSE,1992,US,163,completed,FALSE,FALSE,55,FALSE,311.7999878,FALSE,FALSE,429,FALSE,TRUE,TRUE,33.7707901,FALSE,-84.38601685,composite,FALSE,FALSE,Bank of America Plaza,1,FALSE,TRUE,FALSE,35,FALSE,FALSE,FALSE,FALSE,1991,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Miami,1632,FALSE,0,US,163,vision,FALSE,FALSE,93,FALSE,311.5100098,FALSE,FALSE,442,FALSE,FALSE,FALSE,0,FALSE,0,concrete,FALSE,FALSE,Empire World Condo Tower,1,FALSE,FALSE,FALSE,36,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Miami,1632,FALSE,0,US,163,vision,FALSE,FALSE,93,FALSE,311.5,FALSE,TRUE,441,FALSE,FALSE,FALSE,0,FALSE,0,concrete,FALSE,FALSE,Empire World Apartment Tower,2,FALSE,FALSE,FALSE,37,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Los Angeles,1611,FALSE,1990,US,163,completed,FALSE,FALSE,73,FALSE,310.2900085,FALSE,FALSE,445,FALSE,TRUE,TRUE,34.05104065,FALSE,-118.2543564,steel,FALSE,FALSE,U.S. Bank Tower,1,FALSE,TRUE,FALSE,38,FALSE,FALSE,FALSE,FALSE,1987,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,60,FALSE,310,FALSE,FALSE,14315,FALSE,TRUE,TRUE,40.70946884,FALSE,-74.0127182,concrete,FALSE,FALSE,125 Greenwich Street,1,FALSE,FALSE,FALSE,39,FALSE,TRUE,FALSE,FALSE,2015,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1989,US,163,completed,FALSE,FALSE,60,FALSE,306.9400024,FALSE,FALSE,465,FALSE,TRUE,TRUE,41.88034821,FALSE,-87.63475037,composite,FALSE,FALSE,The Franklin - North Tower,1,FALSE,TRUE,FALSE,40,FALSE,FALSE,FALSE,FALSE,1987,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2014,US,163,completed,FALSE,FALSE,75,FALSE,306.0700073,FALSE,TRUE,570,FALSE,TRUE,TRUE,40.76544189,FALSE,-73.97907257,steel/concrete,FALSE,FALSE,One57,2,FALSE,FALSE,FALSE,41,FALSE,TRUE,FALSE,FALSE,2009,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Houston,1593,FALSE,1982,US,163,completed,FALSE,FALSE,75,FALSE,305.4100037,FALSE,FALSE,472,FALSE,TRUE,TRUE,29.76041985,FALSE,-95.36390686,composite,FALSE,FALSE,JPMorgan Chase Tower,1,FALSE,TRUE,FALSE,42,FALSE,FALSE,FALSE,FALSE,1978,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Miami,1632,FALSE,0,US,163,vision,FALSE,FALSE,0,FALSE,303.2999878,FALSE,FALSE,19910,FALSE,FALSE,FALSE,25.76107025,FALSE,-80.18930817,concrete,FALSE,FALSE,Villa Magna I,1,FALSE,FALSE,FALSE,43,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Miami,1632,FALSE,0,US,163,vision,FALSE,FALSE,0,FALSE,303.2999878,FALSE,FALSE,19911,FALSE,FALSE,FALSE,25.76143074,FALSE,-80.1892395,concrete,FALSE,FALSE,Villa Magna II,1,FALSE,FALSE,FALSE,43,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1990,US,163,completed,FALSE,FALSE,64,FALSE,303.2799988,FALSE,FALSE,489,FALSE,TRUE,TRUE,41.88536835,FALSE,-87.62258148,concrete,FALSE,FALSE,Two Prudential Plaza,1,FALSE,TRUE,FALSE,45,FALSE,FALSE,FALSE,FALSE,1988,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Houston,1593,FALSE,1983,US,163,completed,FALSE,FALSE,71,FALSE,302.3699951,FALSE,FALSE,493,FALSE,TRUE,TRUE,29.75844955,FALSE,-95.36826324,steel,FALSE,FALSE,Wells Fargo Plaza,1,FALSE,TRUE,FALSE,46,FALSE,FALSE,FALSE,FALSE,1979,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2014,US,163,completed,FALSE,FALSE,65,FALSE,297.730011,FALSE,FALSE,545,FALSE,TRUE,TRUE,40.71031952,FALSE,-74.01217651,composite,FALSE,FALSE,4 World Trade Center,1,FALSE,TRUE,FALSE,47,FALSE,FALSE,FALSE,FALSE,2008,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Philadelphia,1657,FALSE,2008,US,163,completed,FALSE,FALSE,57,FALSE,296.730011,FALSE,FALSE,546,FALSE,TRUE,TRUE,39.95473862,FALSE,-75.16847992,composite,FALSE,FALSE,Comcast Center,1,FALSE,TRUE,FALSE,48,FALSE,FALSE,FALSE,FALSE,2005,FALSE
